,Q64,Q65,Q81,Q71,Q1,Q72,Q73,Q74,Q75,Q86,Q87,Q88,Q76,Q77,Q78,Q84,Q84_1_TEXT,Q2,Q3,Q4,Q5,Q7,Q8,Q57,Q58,Q59,Q60,Q61,Q62,Q63,Q17,Q18,Q19,Q20,Q21,Q23,Q64.1,Q65.1,Q66,Q69_1,Q69_2,Q69_3,Q69_4,Q69_5,Q69_6,Q69_7,Q69_8,Q69_9,Q69_10,Q69_11,Q69_12,Q69_13,Q69_14,Q69_15,Q69_16,Q69_17,Q69_18,Q69_19,Q69_20,Duration (in seconds),Attention_score
10,I consent,I am between the ages of 18-25.,23.0,2000-11-19,Cisgender Male,Asian,Yes,No,,No,No,No,Yes,"[
    {""Sport"": ""Basketball"", ""Years"": 4, ""Position"": ""Shooting Guard""},
    {""Sport"": ""Cross Country"", ""Years"": 1, ""Position"": ""NaN""}
]",Asian,No,,1:00 AM,30 Minutes,9:30 AM,8.0 Hours,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Less than once a week,Not during the past month,Very good,Not during the past moth,Less than once a week,No problem at all,No,,,,,Sometimes,Sometimes,Almost never,Often,Often,Sometimes,Sometimes,Often,Almost never,Sometimes,Sometimes,Almost never,Always,Sometimes,Almost never,Sometimes,Always,Sometimes,Sometimes,Almost never,203,3
11,I consent,I am between the ages of 18-25.,21.0,2002-01-01,Cisgender Male,White,Yes,Yes - Full time,Senior,Yes,Yes,No,Yes,"[{""Sport"": ""Football"", ""Years"": 4, ""Position"": ""Running Back""},
{""Sport"": ""Baseball"", ""Years"": 3, ""Position"": ""Outfield""},
{""Sport"": ""Track"", ""Years"": 4, ""Position"": ""NaN""}]",White,No,,11:00 PM,30 Minutes,6:30 AM,7.0 Hours,Three or more times a week,Once or twice a week,Once or twice a week,Not during the past month,Not during the past month,Once or twice a week,Less than once a week,Less than once a week,Three or more times a week,Fairly good,Once or twice a week,Less than once a week,Only a very slight problem,No,,,,,Always,Often,Always,Always,Often,Always,Always,Always,Often,Sometimes,Often,Often,Sometimes,Sometimes,Always,Sometimes,Often,Often,Sometimes,Sometimes,322,3
12,I consent,I am between the ages of 18-25.,23.0,2000-04-07,Cisgender Female,Asian,No,Yes - Full time,Senior,No,No,No,Yes,"[{""Sport"": ""Tennis"", ""Years"": 4, ""Position"": ""NaN""}]",Asian,No,,12:00 AM,15 Minutes,8:30 AM,7.0 Hours,Once or twice a week,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Once or twice a week,Once or twice a week,Not during the past month,Not during the past month,Fairly good,Not during the past moth,Not during the past month,No problem at all,No,,,,,Almost never,Sometimes,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Always,Sometimes,Almost never,Often,Sometimes,Almost never,Almost never,Always,Almost never,Often,Almost never,98,3
13,I consent,I am between the ages of 18-25.,23.0,2001-02-16,Cisgender Female,White,Yes,No,,No,No,No,No, ,White,No,,2:00 AM,30 Minutes,8:00 AM,5.0 Hours,Once or twice a week,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Less than once a week,Not during the past month,Fairly good,Not during the past moth,Less than once a week,Somewhat of a problem,Yes,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Often,Sometimes,Sometimes,Often,Almost never,Sometimes,Sometimes,Often,Sometimes,Always,Often,Almost never,Sometimes,Often,Sometimes,Almost never,Always,Often,Always,Sometimes,324,3
14,I consent,I am between the ages of 18-25.,21.0,2002-08-25,Cisgender Female,White,Yes,Yes - Full time,Senior,No,Yes,No,Yes,"[{""Sport"": ""Track"", ""Years"": 4, ""Position"": ""NaN""},
{""Sport"": ""Basketball"", ""Years"": 2, ""Position"": ""Point Guard""},
{""Sport"": ""Rugby"", ""Years"": 1, ""Position"": ""NaN""}]",White,No,,9:00 PM,10 Minutes,6:00 AM,8.0 Hours,Not during the past month,Three or more times a week,Less than once a week,Not during the past month,Not during the past month,Less than once a week,Once or twice a week,Not during the past month,Less than once a week,Fairly good,Not during the past moth,Not during the past month,Only a very slight problem,No,,,,,Always,Almost never,Always,Almost never,Sometimes,Always,Always,Almost never,Always,Often,Sometimes,Always,Always,Sometimes,Sometimes,Almost never,Often,Often,Often,Always,305,3
15,I consent,I am between the ages of 18-25.,20.0,2003-07-02,Cisgender Female,White,Yes,Yes - Full time,Junior,No,No,Yes,Yes,"[{""Sport"": ""Rowing"", ""Years"": 2, ""Position"": ""Sixth Seat""}]",White,No,,10:30 PM,30 Minutes,7:00 AM,8.0 Hours,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Less than once a week,Not during the past month,Fairly good,Less than once a week,Less than once a week,Somewhat of a problem,No,,,,,Sometimes,Sometimes,Sometimes,Sometimes,Almost never,Almost never,Sometimes,Almost never,Sometimes,Sometimes,Sometimes,Sometimes,Almost never,Almost never,Often,Sometimes,Almost never,Sometimes,Sometimes,Sometimes,351,3
16,I consent,I am between the ages of 18-25.,24.0,1999-01-01,Cisgender Male,White,Yes,No,,No,No,No,No, ,White,No,,11:00 PM,10 Minutes,8:00 AM,8.0 Hours,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Fairly good,Not during the past moth,Not during the past month,No problem at all,No,,,,,Sometimes,Almost never,Sometimes,Always,Often,Almost never,Almost never,Almost never,Sometimes,Sometimes,Almost never,Almost never,Always,Almost never,Always,Often,Always,Often,Sometimes,Almost never,353,3
17,I consent,I am between the ages of 18-25.,24.0,2000-01-01,Cisgender Male,Asian,No,No,,Yes,Yes,Yes,No, ,Asian,Yes,1,1:00 AM,20 Minutes,9:00 AM,7.0 Hours,Less than once a week,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Once or twice a week,Once or twice a week,Not during the past month,Fairly good,Not during the past moth,Less than once a week,Only a very slight problem,No,,,,,Often,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Often,Often,Always,Sometimes,Often,Often,Sometimes,Often,Almost never,Sometimes,Often,Sometimes,Sometimes,282,3
18,I consent,I am between the ages of 18-25.,25.0,1998-01-01,Cisgender Male,White,Yes,No,,No,No,No,Yes,"[{""Sport"": ""Baseball"", ""Years"": 0, ""Position"": ""NaN""}]",White,No,,12:00 PM,45 Minutes,8:00 PM,6.0 Hours,Less than once a week,Not during the past month,Less than once a week,Not during the past month,Less than once a week,Not during the past month,Once or twice a week,Not during the past month,Less than once a week,Fairly good,Less than once a week,Not during the past month,Somewhat of a problem,Yes,Less than once a week,Not during the past month,Less than once a week,Not during the past month,Sometimes,Sometimes,Sometimes,Often,Often,Almost never,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Almost never,Almost never,Often,Always,Often,381,3
19,I consent,I am between the ages of 18-25.,23.0,2000-10-23,Cisgender Male,Latino/Hispanic,Yes,No,,No,No,No,Yes,"[{""Sport"": ""Soccer"", ""Years"": 2, ""Position"": ""Forward or Midfielder""}]",Latino/Hispanic,No,,2:00 AM,20 Minutes,11:00 AM,9.0 Hours,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Fairly good,Not during the past moth,Not during the past month,Only a very slight problem,No,,,,,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Often,Almost never,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,397,3
20,I consent,I am between the ages of 18-25.,20.0,2004-03-30,Cisgender Male,Asian,Yes,Yes - Full time,Sophomore,No,No,No,Yes,"[{""Sport"": ""Soccer"", ""Years"": 4, ""Position"": ""NaN""},
{""Sport"": ""Tennis"", ""Years"": 4, ""Position"": ""NaN""}]",Asian,No,,10:00 PM,120 Minutes,7:00 AM,7.0 Hours,Once or twice a week,Less than once a week,Once or twice a week,Less than once a week,Once or twice a week,Not during the past month,Once or twice a week,Less than once a week,Not during the past month,Fairly good,Less than once a week,Less than once a week,Somewhat of a problem,No,,,,,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Often,Almost never,Sometimes,Almost never,Often,Often,Sometimes,Almost never,Often,Sometimes,Sometimes,Often,Often,Sometimes,146,3
21,I consent,I am between the ages of 18-25.,21.0,2003-03-31,Cisgender Female,White,Yes,Yes - Full time,Junior,No,No,No,Yes,"[{""Sport"": ""Track"", ""Years"": 1, ""Position"": ""100m dash""}]",White,No,,12:00 AM,20 Minutes,6:45 AM,7.0 Hours,Once or twice a week,Not during the past month,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Fairly good,Not during the past moth,Less than once a week,Somewhat of a problem,Yes,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Often,Always,Always,Often,Sometimes,Always,Always,Always,Almost never,Often,Often,Often,Always,Always,Sometimes,Sometimes,Sometimes,Almost never,Sometimes,Almost never,389,3
22,I consent,I am between the ages of 18-25.,22.0,2001-05-15,Cisgender Female,Asian,Yes,No,,No,No,No,No, ,Asian,No,,12:00 AM,30 Minutes,7:30 AM,6.0 Hours,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Fairly good,Not during the past moth,Less than once a week,Only a very slight problem,No,,,,,Always,Sometimes,Almost never,Sometimes,Often,Always,Almost never,Sometimes,Sometimes,Sometimes,Often,Almost never,Sometimes,Almost never,Always,Often,Often,Often,Almost never,Often,211,3
23,I consent,I am between the ages of 18-25.,25.0,1999-01-05,Cisgender Male,White,Yes,No,,No,No,No,Yes,"[{""Sport"": ""Bowling"", ""Years"": 4, ""Position"": ""Player""}]",White,No,,7:00 PM,12 Minutes,4:30 AM,7.5 Hours,Once or twice a week,Three or more times a week,Once or twice a week,Less than once a week,Less than once a week,Not during the past month,Once or twice a week,Three or more times a week,Less than once a week,Fairly bad,Less than once a week,Less than once a week,Somewhat of a problem,No,,,,,Always,Often,Often,Sometimes,Almost never,Always,Often,Often,Often,Almost never,Often,Often,Sometimes,Almost never,Always,Always,Sometimes,Sometimes,Almost never,Often,287,2
24,I consent,I am between the ages of 18-25.,22.0,2001-01-01,Cisgender Male,Native Hawaiian or Pacific Islander,Yes,No,,No,No,No,Yes,"[{""Sport"": ""Soccer"", ""Years"": 2, ""Position"": ""Midfielder""}]",Native Hawaiian or Pacific Islander,No,,11:00 PM,30 Minutes,7:00 PM,7.0 Hours,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Fairly good,Not during the past moth,Not during the past month,No problem at all,No,,,,,Sometimes,Almost never,Sometimes,Sometimes,Often,Almost never,Almost never,Almost never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,310,3
25,I consent,I am between the ages of 18-25.,24.0,1999-11-01,Cisgender Male,White,Yes,No,,No,No,Yes,No, ,White,No,,1:00 AM,20 Minutes,9:00 PM,8.0 Hours,Less than once a week,Less than once a week,Less than once a week,Not during the past month,Three or more times a week,Not during the past month,Not during the past month,Less than once a week,Once or twice a week,Fairly bad,Less than once a week,Not during the past month,A very big problem,Yes,Once or twice a week,Once or twice a week,Less than once a week,Not during the past month,Often,Sometimes,Sometimes,Sometimes,Almost never,Often,Often,Almost never,Often,Sometimes,Sometimes,Almost never,Almost never,Sometimes,Sometimes,Almost never,Almost never,Almost never,Almost never,Often,439,3
26,I consent,I am between the ages of 18-25.,21.0,2002-07-12,Cisgender Male,White,Yes,No,,No,No,No,Yes,"[{""Sport"": ""Track and Field"", ""Years"": 3, ""Position"": ""Throwing Team""}]",White,No,,1:00 AM,10 Minutes,11:00 AM,9.0 Hours,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Once or twice a week,Not during the past month,Not during the past month,Fairly good,Less than once a week,Not during the past month,No problem at all,No,,,,,Almost never,Almost never,Almost never,Always,Always,Almost never,Almost never,Almost never,Sometimes,Always,Almost never,Almost never,Always,Always,Almost never,Almost never,Always,Always,Always,Almost never,374,3
27,I consent,I am between the ages of 18-25.,20.0,2003-12-26,Cisgender Female,White,Yes,Yes - Full time,Junior,No,No,No,No, ,White,No,,4:00 AM,20 Minutes,11:00 AM,7.0 Hours,Less than once a week,Not during the past month,Less than once a week,Once or twice a week,Not during the past month,Less than once a week,Once or twice a week,Not during the past month,Less than once a week,Fairly good,Not during the past moth,Once or twice a week,Somewhat of a problem,No,,,,,Often,Often,Often,Often,Often,Often,Often,Often,Sometimes,Often,Often,Often,Often,Almost never,Often,Always,Sometimes,Sometimes,Often,Sometimes,381,3
28,I consent,I am between the ages of 18-25.,24.0,2024-04-13,Cisgender Male,Asian,Yes,Yes - Full time,Senior,No,No,No,No, ,Asian,No,,11:00 PM,30 Minutes,7:00 AM,7.0 Hours,Three or more times a week,Less than once a week,Not during the past month,Less than once a week,Not during the past month,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Fairly bad,Not during the past moth,Not during the past month,Only a very slight problem,No,,,,,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Often,Often,Sometimes,Sometimes,Almost never,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,190,3
29,I consent,I am between the ages of 18-25.,25.0,1998-06-20,Cisgender Female,White,Yes,Yes - Full time,Senior,No,No,No,Yes,"[{""Sport"": ""Swimming"", ""Years"": 4, ""Position"": ""NaN""}]",White,No,,11:30 PM,30 Minutes,7:30 AM,7.0 Hours,Less than once a week,Once or twice a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Fairly good,Not during the past moth,Not during the past month,Only a very slight problem,Yes,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Often,Sometimes,Sometimes,Almost never,Sometimes,Always,Sometimes,Sometimes,Almost never,Sometimes,Sometimes,Almost never,Sometimes,Almost never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,508,3
30,I consent,I am between the ages of 18-25.,23.0,2000-05-08,Cisgender Male,White,Yes,No,,Yes,Yes,No,No, ,White,Yes,1,11:00 PM,5 Minutes,8:00 AM,7.5 Hours,Once or twice a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Once or twice a week,Less than once a week,Not during the past month,Fairly good,Once or twice a week,Not during the past month,Somewhat of a problem,Yes,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Always,Sometimes,Often,Almost never,Sometimes,Sometimes,Sometimes,Often,256,2
31,I consent,I am between the ages of 18-25.,23.0,2001-03-12,Cisgender Female,White,Yes,No,,No,No,Yes,Yes,"[{""Sport"": ""Soccer"", ""Years"": 2, ""Position"": ""Goalkeeper""}]",White,No,,11:50 PM,5 Minutes,7:45 AM,7.5 Hours,Three or more times a week,Three or more times a week,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Once or twice a week,Less than once a week,Less than once a week,Fairly bad,Once or twice a week,Not during the past month,A very big problem,Yes,Not during the past month,Less than once a week,Three or more times a week,Less than once a week,Often,Often,Often,Sometimes,Almost never,Always,Often,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Almost never,Always,Often,Sometimes,Almost never,Sometimes,Often,324,3
32,I consent,I am between the ages of 18-25.,24.0,1999-01-01,Cisgender Male,Non-Hispanic Black,Yes,Yes - Part time,Senior,No,No,No,Yes,"[{""Sport"": ""Football"", ""Years"": 3, ""Position"": ""NaN""}]",Non-Hispanic Black,No,,1:00 AM,60 Minutes,11:00 AM,6.0 Hours,Once or twice a week,Once or twice a week,Three or more times a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Fairly bad,Not during the past moth,Not during the past month,No problem at all,No,,,,,Almost never,Almost never,Sometimes,Often,Often,Almost never,Almost never,Almost never,Often,Often,Sometimes,Almost never,Sometimes,Often,Almost never,Often,Often,Always,Always,Almost never,614,3
33,I consent,I am between the ages of 18-25.,20.0,2003-09-25,Cisgender Female,Asian,Yes,Yes - Full time,Sophomore,No,No,No,Yes,"[{""Sport"": ""Swimming"", ""Years"": 2, ""Position"": ""Individual swimmer""}]",Asian,No,,3:00 AM,15 Minutes,12:00 AM,8.0 Hours,Three or more times a week,Once or twice a week,Once or twice a week,Less than once a week,Less than once a week,Once or twice a week,Three or more times a week,Once or twice a week,Once or twice a week,Fairly good,Once or twice a week,Less than once a week,Somewhat of a problem,No,,,,,Often,Often,Often,Sometimes,Sometimes,Often,Often,Often,Sometimes,Often,Often,Sometimes,Often,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Often,228,3
34,I consent,I am between the ages of 18-25.,24.0,1999-10-21,Cisgender Female,Asian,Yes,No,,No,No,No,Yes,"[{""Sport"": ""Swimming"", ""Years"": 4, ""Position"": ""NaN""}]",Asian,No,,1:00 AM,17 Minutes,11:00 AM,10.0 Hours,Not during the past month,Once or twice a week,Once or twice a week,Less than once a week,Once or twice a week,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Fairly good,Not during the past moth,Not during the past month,Only a very slight problem,Yes,Three or more times a week,Less than once a week,Less than once a week,Less than once a week,Always,Often,Often,Almost never,Almost never,Always,Sometimes,Almost never,Often,Sometimes,Always,Often,Sometimes,Often,Often,Often,Almost never,Almost never,Almost never,Sometimes,314,3
35,I consent,I am between the ages of 18-25.,18.0,2006-01-06,Cisgender Male,White,Yes,Yes - Full time,Senior,No,No,No,No, ,White,No,,3:00 AM,30 Minutes,2:00 PM,9.0 Hours,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Once or twice a week,Once or twice a week,Less than once a week,Not during the past month,Fairly good,Not during the past moth,Not during the past month,No problem at all,No,,,,,Sometimes,Often,Almost never,Always,Often,Often,Sometimes,Almost never,Sometimes,Sometimes,Always,Almost never,Almost never,Sometimes,Often,Sometimes,Often,Always,Often,Often,147,3
36,I consent,I am between the ages of 18-25.,23.0,2000-07-17,Cisgender Female,Asian,No,Yes - Full time,Senior,No,No,No,Yes,"[{""Sport"": ""Tennis"", ""Years"": 1, ""Position"": ""NaN""}]",Asian,No,,1:00 AM,15 Minutes,7:00 AM,6.0 Hours,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Very good,Less than once a week,Not during the past month,Only a very slight problem,No,,,,,Sometimes,Almost never,Sometimes,Always,Always,Almost never,Always,Sometimes,Sometimes,Always,Sometimes,Sometimes,Often,Always,Almost never,Almost never,Always,Always,Always,Almost never,369,3
37,I consent,I am between the ages of 18-25.,23.0,2000-08-11,Cisgender Female,White,Yes,Yes - Full time,Junior,No,No,No,No, ,White,No,,2:00 AM,45 Minutes,9:00 AM,7.0 Hours,Three or more times a week,Three or more times a week,Three or more times a week,Less than once a week,Not during the past month,Less than once a week,Less than once a week,Once or twice a week,Less than once a week,Fairly good,Not during the past moth,Less than once a week,A very big problem,No,,,,,Always,Always,Always,Almost never,Almost never,Always,Always,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Almost never,Always,Always,Sometimes,Almost never,Sometimes,Often,240,3
38,I consent,I am between the ages of 18-25.,24.0,2000-03-27,Cisgender Male,Asian,No,No,,No,No,No,No, ,Asian,No,,9:00 PM,30 Minutes,6:00 AM,7.0 Hours,Once or twice a week,Once or twice a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Once or twice a week,Fairly good,Not during the past moth,Three or more times a week,Somewhat of a problem,No,,,,,Often,Always,Always,Sometimes,Sometimes,Always,Always,Always,Sometimes,Often,Often,Almost never,Sometimes,Almost never,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,373,3
