,Unnamed: 0.1,Unnamed: 0,Q64,Q65,Q81,Q71,Q1,Q72,Q73,Q74,Q75,Q86,Q87,Q88,QID91,Q76,Q77,Q78,Q84,Q84_1_TEXT,Q89,Q2,Q3,Q4,Q5,Q7,Q8,Q57,Q58,Q59,Q60,Q61,Q62,Q63,Q17,Q18,Q19,Q20,Q21,Q23,Q64.1,Q65.1,Q66,Q90,Q69_1,Q69_2,Q69_3,Q69_4,Q69_5,Q69_6,Q69_7,Q69_8,Q69_9,Q69_10,Q69_11,Q69_12,Q69_13,Q69_14,Q69_15,Q69_16,Q69_17,Q69_18,Q69_19,Q69_20,Duration (in seconds)
15,15,15,I consent,I am between the ages of 18-25.,25.0,1999-01-01,Cisgender Female,White,Yes,Yes - Full time,Senior,No,No,No,True,Yes,"Soccer, Midfielder, 3 years",White,No,,True,10:30 PM,30,7 AM,8,Not during the past month,Less than once a week,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Very good,Not during the past moth,Not during the past month,No problem at all,Yes,Less than once a week,Not during the past month,Not during the past month,Not during the past month,75 degrees or higher,Sometimes,Almost never,Almost never,Often,Often,Sometimes,Almost never,Almost never,Sometimes,Often,Almost never,Almost never,Often,Almost never,Sometimes,Almost never,Often,Always,Often,Almost never,558
16,16,16,I consent,I am between the ages of 18-25.,26.0,1998-12-13,Cisgender Male,White,Yes,Yes - Part time,Senior,No,No,Yes,True,Yes,tennis,White,No,,True,11:00 pm,10,8:00 AM,8,Not during the past month,Not during the past month,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Very good,Not during the past moth,Not during the past month,No problem at all,Yes,Not during the past month,Not during the past month,Not during the past month,Not during the past month,75 degrees or higher,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Always,Almost never,Almost never,Always,Always,Almost never,Almost never,Always,Always,Always,Almost never,448
17,17,17,I consent,I am between the ages of 18-25.,19.0,2004-08-27,Cisgender Male,White,Yes,Yes - Full time,Sophomore,No,No,No,False,Yes,Soccer,White,No,,True,1:00 AM,20 minutes,9:00 AM,7 hours,Less than once a week,Less than once a week,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Once or twice a week,Less than once a week,Not during the past month,Fairly good,Not during the past moth,Not during the past month,No problem at all,No,,,,,75 degrees or higher,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Often,Often,Often,Sometimes,201
18,18,18,I consent,I am between the ages of 18-25.,21.0,2002-10-23,Cisgender Male,Asian,Yes,Yes - Full time,Senior,No,No,No,True,Yes,"Soccer, Defensive, 1 year",Asian,No,,True,12,45,8,6,Once or twice a week,Once or twice a week,Three or more times a week,Not during the past month,Not during the past month,Not during the past month,Once or twice a week,Not during the past month,Not during the past month,Fairly good,Not during the past moth,Less than once a week,Only a very slight problem,No,,,,,75 degrees or higher,Always,Sometimes,Sometimes,Almost never,Often,Always,Sometimes,Sometimes,Almost never,Often,Often,Almost never,Sometimes,Almost never,Always,Often,Sometimes,Almost never,Almost never,Sometimes,240
19,19,19,I consent,I am between the ages of 18-25.,23.0,2000-11-19,Cisgender Male,Asian,Yes,No,,No,No,No,True,Yes,"Basketball, shooting guard, 4 years; Cross Country, 1 yr",Asian,No,,True,2 or 3 am,20 min,11am,9 hrs average,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Less than once a week,Not during the past month,Very good,Not during the past moth,Less than once a week,No problem at all,No,,,,,75 degrees or higher,Sometimes,Sometimes,Almost never,Often,Often,Sometimes,Sometimes,Often,Almost never,Sometimes,Sometimes,Almost never,Always,Sometimes,Almost never,Sometimes,Always,Sometimes,Sometimes,Almost never,203
20,20,20,I consent,I am between the ages of 18-25.,21.0,2002-01-01,Cisgender Male,White,Yes,Yes - Full time,Senior,Yes,Yes,No,True,Yes,"Football, Running Back, all 4 years. Baseball, outfield, 3 years, Track, all 4 years",White,No,,True,10pm,120,7am,7,Three or more times a week,Once or twice a week,Once or twice a week,Not during the past month,Not during the past month,Once or twice a week,Less than once a week,Less than once a week,Three or more times a week,Fairly good,Once or twice a week,Less than once a week,Only a very slight problem,No,,,,,75 degrees or higher,Always,Often,Always,Always,Often,Always,Always,Always,Often,Sometimes,Often,Often,Sometimes,Sometimes,Always,Sometimes,Often,Often,Sometimes,Sometimes,322
21,21,21,I consent,I am between the ages of 18-25.,23.0,2000-04-07,Cisgender Female,Asian,No,Yes - Full time,Senior,No,No,No,True,Yes,tennis 4 years,Asian,No,,True,12 AM,20,6:45 AM,7,Once or twice a week,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Once or twice a week,Once or twice a week,Not during the past month,Not during the past month,Fairly good,Not during the past moth,Not during the past month,No problem at all,No,,,,,75 degrees or higher,Almost never,Sometimes,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Always,Sometimes,Almost never,Often,Sometimes,Almost never,Almost never,Always,Almost never,Often,Almost never,98
22,22,22,I consent,I am between the ages of 18-25.,23.0,2001-02-16,Cisgender Female,White,Yes,No,,No,No,No,True,No,,White,No,,True,12:00AM,30 minutes,7:30AM,6 hours,Once or twice a week,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Less than once a week,Not during the past month,Fairly good,Not during the past moth,Less than once a week,Somewhat of a problem,Yes,Not during the past month,Not during the past month,Not during the past month,Not during the past month,75 degrees or higher,Often,Sometimes,Sometimes,Often,Almost never,Sometimes,Sometimes,Often,Sometimes,Always,Often,Almost never,Sometimes,Often,Sometimes,Almost never,Always,Often,Always,Sometimes,324
23,23,23,I consent,I am between the ages of 18-25.,21.0,2002-08-25,Cisgender Female,White,Yes,Yes - Full time,Senior,No,Yes,No,True,Yes,"Track, all 4 years, Basketball, Point Guard, 2 years, Rugby, 1 year",White,No,,True,7pm ,10-15 minutes,4:30am,7-8 hours,Not during the past month,Three or more times a week,Less than once a week,Not during the past month,Not during the past month,Less than once a week,Once or twice a week,Not during the past month,Less than once a week,Fairly good,Not during the past moth,Not during the past month,Only a very slight problem,No,,,,,75 degrees or higher,Always,Almost never,Always,Almost never,Sometimes,Always,Always,Almost never,Always,Often,Sometimes,Always,Always,Sometimes,Sometimes,Almost never,Often,Often,Often,Always,305
24,24,24,I consent,I am between the ages of 18-25.,20.0,2003-07-02,Cisgender Female,White,Yes,Yes - Full time,Junior,No,No,Yes,True,Yes,"Rowing, sixth seat, 2 years",White,No,,True,11,30,7,7,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Less than once a week,Not during the past month,Fairly good,Less than once a week,Less than once a week,Somewhat of a problem,No,,,,,75 degrees or higher,Sometimes,Sometimes,Sometimes,Sometimes,Almost never,Almost never,Sometimes,Almost never,Sometimes,Sometimes,Sometimes,Sometimes,Almost never,Almost never,Often,Sometimes,Almost never,Sometimes,Sometimes,Sometimes,351
25,25,25,I consent,I am between the ages of 18-25.,24.0,1999-01-01,Cisgender Male,White,Yes,No,,No,No,No,True,No,,White,No,,True,1,20,9,8,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Fairly good,Not during the past moth,Not during the past month,No problem at all,No,,,,,75 degrees or higher,Sometimes,Almost never,Sometimes,Always,Often,Almost never,Almost never,Almost never,Sometimes,Sometimes,Almost never,Almost never,Always,Almost never,Always,Often,Always,Often,Sometimes,Almost never,353
26,26,26,I consent,I am between the ages of 18-25.,24.0,2000-01-01,Cisgender Male,Asian,No,No,,Yes,Yes,Yes,True,No,,Asian,Yes,1,True,1:00am,10 minutes,11:00am,9,Less than once a week,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Once or twice a week,Once or twice a week,Not during the past month,Fairly good,Not during the past moth,Less than once a week,Only a very slight problem,No,,,,,75 degrees or higher,Often,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Often,Often,Always,Sometimes,Often,Often,Sometimes,Often,Almost never,Sometimes,Often,Sometimes,Sometimes,282
27,27,27,I consent,I am between the ages of 18-25.,25.0,1998-01-01,Cisgender Male,White,Yes,No,,No,No,No,True,Yes,Baseball,White,No,,True,4AM,20,11AM,7,Less than once a week,Not during the past month,Less than once a week,Not during the past month,Less than once a week,Not during the past month,Once or twice a week,Not during the past month,Less than once a week,Fairly good,Less than once a week,Not during the past month,Somewhat of a problem,Yes,Less than once a week,Not during the past month,Less than once a week,Not during the past month,75 degrees or higher,Sometimes,Sometimes,Sometimes,Often,Often,Almost never,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Almost never,Almost never,Often,Always,Often,381
28,28,28,I consent,I am between the ages of 18-25.,23.0,2000-10-23,Cisgender Male,Latino/Hispanic,Yes,No,,No,No,No,True,Yes,"Soccer, Forward or Midfielder, 2 years",Latino/Hispanic,No,,True,11PM,30,7AM,7,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Fairly good,Not during the past moth,Not during the past month,Only a very slight problem,No,,,,,75 degrees or higher,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Often,Almost never,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,397
29,29,29,I consent,I am between the ages of 18-25.,20.0,2004-03-30,Cisgender Male,Asian,Yes,Yes - Full time,Sophomore,No,No,No,True,Yes,"Soccer, Tennis, all 4 years",Asian,No,,True,11:30 pm,30,7:30 am,7,Once or twice a week,Less than once a week,Once or twice a week,Less than once a week,Once or twice a week,Not during the past month,Once or twice a week,Less than once a week,Not during the past month,Fairly good,Less than once a week,Less than once a week,Somewhat of a problem,No,,,,,75 degrees or higher,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Often,Almost never,Sometimes,Almost never,Often,Often,Sometimes,Almost never,Often,Sometimes,Sometimes,Often,Often,Sometimes,146
30,30,30,I consent,I am between the ages of 18-25.,21.0,2003-03-31,Cisgender Female,White,Yes,Yes - Full time,Junior,No,No,No,True,Yes,"Track, 100m dash, 1 year",White,No,,True,Usually 11 P.M. or Midnight,5 Minutes,Usually 8 A.M. ,I typically get around 7.5 hours of sleep. ,Once or twice a week,Not during the past month,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Fairly good,Not during the past moth,Less than once a week,Somewhat of a problem,Yes,Not during the past month,Not during the past month,Not during the past month,Not during the past month,75 degrees or higher,Often,Always,Always,Often,Sometimes,Always,Always,Always,Almost never,Often,Often,Often,Always,Always,Sometimes,Sometimes,Sometimes,Almost never,Sometimes,Almost never,389
31,31,31,I consent,I am between the ages of 18-25.,22.0,2001-05-15,Cisgender Female,Asian,Yes,No,,No,No,No,True,No,,Asian,No,,True,11:50,5,7:45,7.5,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Fairly good,Not during the past moth,Less than once a week,Only a very slight problem,No,,,,,75 degrees or higher,Always,Sometimes,Almost never,Sometimes,Often,Always,Almost never,Sometimes,Sometimes,Sometimes,Often,Almost never,Sometimes,Almost never,Always,Often,Often,Often,Almost never,Often,211
32,32,32,I consent,I am between the ages of 18-25.,25.0,1999-01-05,Cisgender Male,White,Yes,No,,No,No,No,True,Yes,"Bowling, Player, all 4 years)",White,No,,False,1am,1 hour,11am,6,Once or twice a week,Three or more times a week,Once or twice a week,Less than once a week,Less than once a week,Not during the past month,Once or twice a week,Three or more times a week,Less than once a week,Fairly bad,Less than once a week,Less than once a week,Somewhat of a problem,No,,,,,75 degrees or higher,Always,Often,Often,Sometimes,Almost never,Always,Often,Often,Often,Almost never,Often,Often,Sometimes,Almost never,Always,Always,Sometimes,Sometimes,Almost never,Often,287
33,33,33,I consent,I am between the ages of 18-25.,22.0,2001-01-01,Cisgender Male,Native Hawaiian or Pacific Islander,Yes,No,,No,No,No,True,Yes,"soccer, midfielder, 2 years",Native Hawaiian or Pacific Islander,No,,True,3am,15,12am,8,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Fairly good,Not during the past moth,Not during the past month,No problem at all,No,,,,,75 degrees or higher,Sometimes,Almost never,Sometimes,Sometimes,Often,Almost never,Almost never,Almost never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,310
34,34,34,I consent,I am between the ages of 18-25.,24.0,1999-11-01,Cisgender Male,White,Yes,No,,No,No,Yes,True,No,,White,No,,True,1 AM,15 to 20 minutes,11 AM to Noon,10 hours,Less than once a week,Less than once a week,Less than once a week,Not during the past month,Three or more times a week,Not during the past month,Not during the past month,Less than once a week,Once or twice a week,Fairly bad,Less than once a week,Not during the past month,A very big problem,Yes,Once or twice a week,Once or twice a week,Less than once a week,Not during the past month,75 degrees or higher,Often,Sometimes,Sometimes,Sometimes,Almost never,Often,Often,Almost never,Often,Sometimes,Sometimes,Almost never,Almost never,Sometimes,Sometimes,Almost never,Almost never,Almost never,Almost never,Often,439
35,35,35,I consent,I am between the ages of 18-25.,21.0,2002-07-12,Cisgender Male,White,Yes,No,,No,No,No,True,Yes,"Track and Field, Throwing Team, 3 years",White,No,,True,3:00 AM,30,2:00 PM,9,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Once or twice a week,Not during the past month,Not during the past month,Fairly good,Less than once a week,Not during the past month,No problem at all,No,,,,,75 degrees or higher,Almost never,Almost never,Almost never,Always,Always,Almost never,Almost never,Almost never,Sometimes,Always,Almost never,Almost never,Always,Always,Almost never,Almost never,Always,Always,Always,Almost never,374
36,36,36,I consent,I am between the ages of 18-25.,20.0,2003-12-26,Cisgender Female,White,Yes,Yes - Full time,Junior,No,No,No,True,No,,White,No,,True,1am,15,7am,6,Less than once a week,Not during the past month,Less than once a week,Once or twice a week,Not during the past month,Less than once a week,Once or twice a week,Not during the past month,Less than once a week,Fairly good,Not during the past moth,Once or twice a week,Somewhat of a problem,No,,,,,75 degrees or higher,Often,Often,Often,Often,Often,Often,Often,Often,Sometimes,Often,Often,Often,Often,Almost never,Often,Always,Sometimes,Sometimes,Often,Sometimes,381
37,37,37,I consent,I am between the ages of 18-25.,24.0,2024-04-13,Cisgender Male,Asian,Yes,Yes - Full time,Senior,No,No,No,True,No,,Asian,No,,True,2:00am,45,9:00am,7,Three or more times a week,Less than once a week,Not during the past month,Less than once a week,Not during the past month,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Fairly bad,Not during the past moth,Not during the past month,Only a very slight problem,No,,,,,75 degrees or higher,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Often,Often,Sometimes,Sometimes,Almost never,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,190
38,38,38,I consent,I am between the ages of 18-25.,25.0,1998-06-20,Cisgender Female,White,Yes,Yes - Full time,Senior,No,No,No,True,Yes,"swimming, all 4 years",White,No,,True,9pm,30,6am,7,Less than once a week,Once or twice a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Fairly good,Not during the past moth,Not during the past month,Only a very slight problem,Yes,Not during the past month,Not during the past month,Not during the past month,Not during the past month,75 degrees or higher,Often,Sometimes,Sometimes,Almost never,Sometimes,Always,Sometimes,Sometimes,Almost never,Sometimes,Sometimes,Almost never,Sometimes,Almost never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,508
39,39,39,I consent,I am between the ages of 18-25.,23.0,2000-05-08,Cisgender Male,White,Yes,No,,Yes,Yes,No,False,No,,White,Yes,1,True,11pm,15,9am,9,Once or twice a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Once or twice a week,Less than once a week,Not during the past month,Fairly good,Once or twice a week,Not during the past month,Somewhat of a problem,Yes,Not during the past month,Not during the past month,Less than once a week,Not during the past month,75 degrees or higher,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Always,Sometimes,Often,Almost never,Sometimes,Sometimes,Sometimes,Often,256
40,40,40,I consent,I am between the ages of 18-25.,23.0,2001-03-12,Cisgender Female,White,Yes,No,,No,No,Yes,True,Yes,"Soccer, goalkeeper, 2 years",White,No,,True,Midnight,30,6am,Four hours,Three or more times a week,Three or more times a week,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Once or twice a week,Less than once a week,Less than once a week,Fairly bad,Once or twice a week,Not during the past month,A very big problem,Yes,Not during the past month,Less than once a week,Three or more times a week,Less than once a week,75 degrees or higher,Often,Often,Often,Sometimes,Almost never,Always,Often,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Almost never,Always,Often,Sometimes,Almost never,Sometimes,Often,324
41,41,41,I consent,I am between the ages of 18-25.,24.0,1999-01-01,Cisgender Male,Non-Hispanic Black,Yes,Yes - Part time,Senior,No,No,No,True,Yes,"Football, 3 years",Non-Hispanic Black,No,,True,3:00am,15,8:0am,5,Once or twice a week,Once or twice a week,Three or more times a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Fairly bad,Not during the past moth,Not during the past month,No problem at all,No,,,,,75 degrees or higher,Almost never,Almost never,Sometimes,Often,Often,Almost never,Almost never,Almost never,Often,Often,Sometimes,Almost never,Sometimes,Often,Almost never,Often,Often,Always,Always,Almost never,614
42,42,42,I consent,I am between the ages of 18-25.,20.0,2003-09-25,Cisgender Female,Asian,Yes,Yes - Full time,Sophomore,No,No,No,True,Yes,"Swimming, Individual swimmer, 2 years",Asian,No,,True,12:45 AM,61 minutes,8:20 AM,6 hours,Three or more times a week,Once or twice a week,Once or twice a week,Less than once a week,Less than once a week,Once or twice a week,Three or more times a week,Once or twice a week,Once or twice a week,Fairly good,Once or twice a week,Less than once a week,Somewhat of a problem,No,,,,,75 degrees or higher,Often,Often,Often,Sometimes,Sometimes,Often,Often,Often,Sometimes,Often,Often,Sometimes,Often,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Often,228
